"entreprise","firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"Quantum Surgical","Quantum Surgical",2,NA,NA,"Deep Learning",NA,34
"R&S TELECOM","R&S TELECOM",1,NA,NA,"Bases de donnée, Collaboration, Optimisation, SQL, Tableau, modélisation, équipe",NA,75
"RADèS","RADèS",7,NA,3,"Anglais, Curiosité, Excel, équipe",45,NA
"RD2 CONSEIL","RD2 CONSEIL",2,NA,NA,"Anglais, Collaboration, Intelligence artificielle, Programmation, Python, Statistique, équipe",NA,69
"RECONOMIA","RECONOMIA",1,NA,NA,"Autonome, Autonôme, Collaboration, Programmation, Python, équipe",NA,59
"RECRUTONS ENSEMBLE","RECRUTONS ENSEMBLE",1,NA,NA,"AWS, Autonome, Autonôme, Excel, Git, Programmation, équipe",NA,13
"RSM","RSM",2,"Banque, Assurance, Finance",0,"Excel, Français, Optimisation, Rapport",NA,44
"Rakam","Rakam",2,"Services aux Entreprises",NA,"",NA,92
"Rakuten","Rakuten",1,NA,NA,"Deep Learning",NA,75
"Reactis Services","Reactis Services",3,"Secteur informatique, ESN",1,"Reporting",45,94
"Recrulab","Recrulab",1,NA,NA,"Autonome, Autonôme, Optimisation, Programmation, Reporting, Tableau, VBA, équipe",45,69
"Renault Group","Renault Group",7,NA,NA,"Anglais",NA,78
"Repro-IT","Repro-IT",2,"Distribution, Commerce de gros, Secteur informatique, ESN",7,"Collaboration, équipe",28,59
"Rhodium Group","Rhodium Group",1,NA,NA,"Collaboration, Data Visualization, Database, English, NLP, Natural Language Processing, Optimization, Python, SQL, Statistics, Tableau",NA,75
"Roche","Roche",1,NA,NA,"Anglais, Autonome, Autonôme, Base de donnée, Français, Statistique",NA,75
"Rte international","Rte international",1,NA,NA,"Artificial intelligence, Collaboration, Communication, Communication Skills, Git, NLP, Natural Language Processing, Optimization, Programmation, Programming, Project Management, PyTorch, Python, Team Collaboration, Version Control",NA,92
"SAS AKERWISE","SAS AKERWISE",1,NA,NA,"Azure, Collaboration, Power BI, Rapport, SQL, Statistique, Tableau, équipe",270,75
"SATT Sud Est","SATT Sud Est",1,NA,NA,"Deep Learning",31,13
"SCC","SCC",1,"Secteur informatique, ESN",7,"Collaboration, Git, équipe",NA,92
"SCOR","SCOR",2,NA,NA,"Deep Learning",NA,75
"SERMA Technologies","SERMA Technologies",1,NA,NA,"Collaboration, Curiosité, Python, modélisation, équipe",NA,33
"SFR","SFR",6,"Industrie high-tech, Telecom",0,"Bases de donnée, Reporting, SQL, équipe",NA,75
"SIACI SAINT HONORE","SIACI SAINT HONORE",2,NA,NA,"Bases de donnée, Intelligence artificielle, Programmation, Python, Statistique, équipe",NA,75
"SII Atlantique","SII Atlantique",2,"Secteur informatique, ESN",NA,"Créativité, Spark, équipe",37.5,37
"SII Est","SII Est",1,"Secteur informatique, ESN",1,"Créativité, Curiosité, Tableau, équipe",30,67
"SII Ile de France","SII Ile de France",6,"Secteur informatique, ESN",7,"Créativité, équipe",41,76
"SII Nord","SII Nord",10,"Secteur informatique, ESN",0,"Python, SQL, équipe",29.8,59
"SII Ouest","SII Ouest",4,"Secteur informatique, ESN",NA,"Autonome, Autonôme, Créativité, équipe",38.75,72
"SII Technologies GmbH HR-Service","SII Technologies GmbH HR-Service",1,NA,NA,"Créativité, Excel, Git, Python, modélisation, équipe",42,92
"SILAMIR","SILAMIR",1,NA,NA,"Rigueur, équipe",NA,75
"SIPLEC","SIPLEC",1,NA,NA,"Excel, Français, Tableau, équipe",NA,94
