"entreprise","firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"Holcim","Holcim",2,NA,NA,"Data Visualization, Programming, Python",NA,38
"Hove","Hove",7,NA,NA,"Anglais, Français, Power BI, Rapport, SQL, Tableau, équipe",NA,NA
"Hôpital Cavale Blanche","Hôpital Cavale Blanche",1,NA,NA,"Deep Learning",NA,29
"Hôpital National des Quinze-Vingts","Hôpital National des Quinze-Vingts",2,NA,NA,"Collaboration, Rapport",NA,75
"IBM","IBM",1,NA,NA,"Anglais, Collaboration, Curiosité, Français, équipe",NA,92
"ICM Institut du Cerveau","ICM Institut du Cerveau",1,NA,NA,"Collaboration, Communication, Database, Programmation, Programming, Python, Statistics, Version Control",40,75
"IKIGAÏ","IKIGAÏ",1,NA,NA,"Power BI, Programmation, Reporting, Tableau, équipe",30,69
"IMT Nord Europe","IMT Nord Europe",1,"Enseignement, Formation",0,"Deep Learning",NA,59
"IN'LI","IN'LI",1,NA,NA,"Power BI, Project Management, Rapport, SQL, Statistique, équipe",NA,92
"INERIS","INERIS",1,NA,NA,"Communication, English, Excel, French, Programming, Python, équipe",NA,60
"INEX BET","INEX BET",1,NA,NA,"Anglais, Base de donnée, Communication, Excel, Programmation, PyTorch, Python, Rigueur, Tableau, TensorFlow",900,93
"INFOGENE","INFOGENE",10,"Secteur informatique, ESN",1,"équipe",48.75,92
"INFOPRO DIGITAL","INFOPRO DIGITAL",1,NA,NA,"Autonome, Autonôme, Base de donnée, Excel, Français, Git, Programmation, Reporting, Statistique, équipe",NA,92
"INRAE","INRAE",1,NA,NA,"Base de donnée, Git, Intelligence artificielle, modélisation, équipe",29,44
"INRIA","INRIA",1,"Service public des collectivités territoriales, Service public d'état, Service public autres",NA,"Apprentissage profond, Collaboration, Python, Statistique, modélisation, équipe",NA,34
"IRT Jules VERNE","IRT Jules VERNE",1,NA,NA,"Anglais, C++, Communication, Intelligence artificielle, Programmation, PyTorch, Python, équipe",NA,44
"IRT Jules Verne","IRT Jules Verne",1,"Industrie Manufacturière",NA,"Intelligence artificielle, équipe",NA,44
"IT&M STATS","IT&M STATS",1,"Secteur informatique, ESN",NA,"Anglais, Autonome, Autonôme, Statistique, équipe",NA,75
"ITW","ITW",1,NA,NA,"Anglais, Bases de donnée, Excel, Power BI, Programmation, Python, Reporting, SQL, Statistique, VBA, équipe",NA,26
"IZIWORK","IZIWORK",1,NA,NA,"Anglais, Excel, Git, Python, SQL",40,44
"Iliad","Iliad",3,"Industrie high-tech, Telecom, Média, Internet, Communication",0,"équipe",NA,75
"In Extenso","In Extenso",2,"Secteur informatique, ESN",0.5,"AWS, Azure, Git, Power BI, Python, SQL, Tableau, équipe",NA,75
"InPost","InPost",1,NA,NA,"Anglais, Base de donnée, Bases de donnée, Excel, Power BI, Python, Reporting, SQL, équipe",NA,59
"InVivo Digital Factory","InVivo Digital Factory",2,"Industrie Agro-alimentaire",7,"Collaboration, Git, SQL, modélisation, équipe",NA,92
"Ineat","Ineat",2,"Secteur informatique, ESN",NA,"Git, Power BI, SQL, modélisation, équipe",NA,59
"Ineris","Ineris",3,"Secteur Energie, Environnement",1,"French",NA,60
"Inetum","Inetum",31,"Secteur informatique, ESN",7,"équipe",NA,93
"Infotel","Infotel",4,"Secteur informatique, ESN",7,"Hadoop, SQL",38,29
"Ingeniance","Ingeniance",2,"Secteur informatique, ESN",NA,"AWS, Azure, équipe",NA,92
"Innova Solutions","Innova Solutions",1,"Secteur informatique, ESN",7,"Collaboration, Excel, Python, SQL, modélisation, équipe",NA,6
"Innovela","Innovela",26,NA,2,"Autonome, Autonôme, Bases de donnée, Hadoop, Programmation, Python, Spark, équipe",50,NA
"Inria","Inria",2,NA,NA,"Collaboration, Excel, Git, Programming, Python, équipe",NA,13
"Insitoo","Insitoo",2,NA,NA,"équipe",NA,59
"Insitoo Freelances","Insitoo Freelances",2,NA,NA,"Anglais, Google Cloud, Power BI, Programmation, Python, SQL, équipe",NA,59
"Institut du Cerveau et de la Moelle Épinière","Institut du Cerveau et de la Moelle Épinière",1,NA,NA,"Collaboration, Communication, Database, Programming, Python, Statistics, Version Control",NA,75
"Institut du cerveau","Institut du cerveau",1,NA,NA,"Communication, Communication Skills, Excel, Programming, Python",NA,75
"Inventing for Life","Inventing for Life",1,"Industrie Pharmaceutique, Biotechn., Chimie",NA,"AWS, Collaboration, Créativité, Data Visualization, Database, Git, Optimisation, Power BI, Programming, Project Management, Python, Statistics, Statistique, équipe",NA,75
"Invivoo","Invivoo",1,NA,NA,"Dataviz, Excel, Optimisation, Python, SQL, Tableau, VBA, équipe",40,75
"Ipsen Pharma (SAS)","Ipsen Pharma (SAS)",1,NA,NA,"Data Visualization, Natural Language Processing, Programming, Python, Team Player",NA,92
"Itnovem","Itnovem",1,"Secteur informatique, ESN",NA,"AWS, Azure, Git, Proactive, équipe",NA,93
"Ivalua","Ivalua",1,NA,NA,"Deep Learning",NA,91
"Iziwork","Iziwork",1,"Services aux Entreprises",NA,"Anglais, Excel, Python, SQL",40,44
"JCDecaux","JCDecaux",6,"Média, Internet, Communication, Industrie Manufacturière",1.75,"équipe",NA,92
"Job Staging","Job Staging",2,"Industrie high-tech, Telecom, Secteur informatique, ESN",7,"Autonome, Autonôme, Collaboration, Git, Optimisation, Power BI, Rigueur, SQL, modélisation, équipe",NA,56
"Jobmania","Jobmania",1,"Services aux Entreprises, Média, Internet, Communication",1,"Curiosité, Git, Rapport, équipe",1,75
"Johnson & Johnson","Johnson & Johnson",1,NA,NA,"Deep Learning",NA,92
"K-Ryole","K-Ryole",2,"Industrie Manufacturière, Distribution, Commerce de gros",0,"Tableau, équipe",NA,75
"KAROS MOBILITY","KAROS MOBILITY",7,NA,3,"Collaboration, Communication, Excel, Python, R Studio, Rapport, SQL, Statistique, équipe",50,NA
"KLESIA","KLESIA",1,NA,NA,"Autonome, Autonôme, Communication, Excel, Power BI, Prévision, Python, Rapport, Rigueur, SQL, Statistique, Tableau, VBA, modélisation, équipe",NA,75
"KNOW YOUR PEOPLE","KNOW YOUR PEOPLE",1,NA,NA,"Autonome, Autonôme, Git, Programmation, Python, Rapport, Reporting, SQL, Statistique, modélisation",35,59
"KPMG","KPMG",15,"Secteur informatique, ESN",0.428571428571429,"équipe",NA,92
"KROISSANCE","KROISSANCE",1,NA,NA,"Azure, Communication, Français, Git, Power BI, Python, Rigueur, SQL, équipe",40,31
"Kaino","Kaino",2,NA,NA,"AWS, Collaboration, Proactif, Programmation, Python, équipe",60,75
"Kaino Consulting","Kaino Consulting",1,NA,NA,"AWS, Collaboration, Proactif, Python, équipe",NA,75
"Kanbios","Kanbios",12,NA,3.5,"Anglais, Excel, équipe",NA,NA
"Kaïbee","Kaïbee",1,NA,NA,"AWS, Anglais, Autonome, Autonôme, Collaboration, Git, Programmation, Programming, Python, Spark, équipe",400,75
"Kelkoo LTD","Kelkoo LTD",1,"Secteur informatique, ESN",NA,"Deep Learning",NA,38
"Kelly Services","Kelly Services",1,"Industrie Pharmaceutique, Biotechn., Chimie",1,"Anglais, Collaboration, Communication, Gestion de Projets, Git, Python, Rapport, équipe",NA,91
"Keolis Tours","Keolis Tours",1,NA,NA,"Collaboration, Curiosité, Programmation, Tableau, équipe",NA,37
"Kering","Kering",1,"Distribution, Commerce de gros",NA,"Curious, Database, English, Excel, Forecasting, French, Proactive, Python, SQL, Statistics",NA,75
"Kicklox","Kicklox",14,NA,NA,"Français",257.5,78
"Klarys","Klarys",1,NA,NA,"Deep Learning",NA,35
"Klint Consulting","Klint Consulting",7,NA,5,"Reporting, équipe",55,NA
"Kumo","Kumo",1,NA,NA,"Base de donnée, Excel, Programmation, Reporting, Tableau, VBA, équipe",700,92
"Kuribay","Kuribay",1,"Industrie Auto, Meca, Navale",1,"Collaboration, Optimisation, équipe",NA,69
"Kyriba","Kyriba",2,"Banque, Assurance, Finance",NA,"Artificial intelligence, Communication, Communication Skills, English, Python, Statistics",NA,92
"L'Opcommerce","L'Opcommerce",1,NA,NA,"Autonome, Autonôme, Azure, Dataviz, Git, Power BI, Python, Rapport, Reporting, SQL, Statistique, équipe",38,75
"L'Organisation mondiale de la santé animale (OIE)","L'Organisation mondiale de la santé animale (OIE)",1,NA,NA,"Collaboration, Database, Database Management, English, Excel, French, Git, Proactive, Programming, Project Management, Python, Reporting, SQL, Team Player, data collection",NA,75
"LA BCI","LA BCI",1,NA,NA,"Base de donnée, Communication, Créativité, Curiosité, Excel, Power BI, Programmation, Python, Rapport, Rigueur, SQL, Serieux, Statistique, Tableau, modélisation, équipe",NA,NA
"LA POSTE GROUPE","LA POSTE GROUPE",6,"Transport, Logistique",1,"équipe",NA,93
"LALLEMAND","LALLEMAND",1,NA,NA,"Communication, Excel, Git, Programmation, Statistique, Tableau, équipe",29,15
"LCL","LCL",6,"Banque, Assurance, Finance",0.333333333333333,"équipe",NA,94
"LE GROUPE GCF","LE GROUPE GCF",1,NA,NA,"Anglais, Bases de donnée, Communication, Curiosité, Excel, Français, Reporting, Rigueur, Statistique, Tableau, équipe",NA,67
"LHH Recruitment Solutions","LHH Recruitment Solutions",3,"Services aux Entreprises",7,"Anglais",40,33
"LNE","LNE",1,NA,NA,"Anglais, Autonome, Autonôme, Bases de donnée, C++, Curiosité, Français, Intelligence artificielle, Programmation, Python, équipe",NA,75
"LR Technologies Nord","LR Technologies Nord",2,"Services aux Entreprises, Secteur informatique, ESN",1,"Collaboration, Git, Google Cloud, Power BI, SQL, modélisation, équipe",40,59
"LSA COURTAGE","LSA COURTAGE",44,NA,NA,"Autonome, Autonôme, Base de donnée, Communication, Curiosité, Data Visualization, Git, Google Cloud, Programmation, Rapport, Rigueur, SQL, Statistique, Tableau, équipe",NA,92
"La Banque Postale","La Banque Postale",5,NA,NA,"Deep Learning",NA,75
"La Belle Iloise","La Belle Iloise",1,NA,NA,"Base de donnée, Bases de donnée, Excel, Git, Optimisation, Prévision, Reporting, Rigueur, SQL, Statistique, Tableau, équipe",NA,56
"La Relève","La Relève",7,NA,4,"Communication, Git, Statistique, modélisation, équipe",50,NA
"La Sécu recrute","La Sécu recrute",6,NA,NA,"Statistique",36,75
"Lacoste","Lacoste",1,"Distribution, Commerce de gros",NA,"",NA,75
"Langton Howarth","Langton Howarth",1,NA,NA,"Autonomous, Communication, English, Python",NA,75
"Latecoere","Latecoere",1,NA,NA,"Excel, Optimisation, Programmation, Python, SQL, Spark, Statistique, Tableau, modélisation, équipe",NA,31
"Le Bon Candidat Recrutement","Le Bon Candidat Recrutement",1,"Services aux Entreprises",NA,"Anglais, Communication, Excel, Intelligence artificielle, équipe",40,94
"Le Groupe La Poste","Le Groupe La Poste",1,NA,NA,"Anglais, Français, équipe",NA,75
"Le Télégramme","Le Télégramme",4,"Média, Internet, Communication",1,"Collaboration, équipe",40,29
"LeHibou","LeHibou",1,NA,NA,"Anglais, Git, Proactif, Reporting, équipe",550,92
"Lefebvre Sarrut","Lefebvre Sarrut",1,NA,NA,"Excel, Français, Python, Rigueur, Statistique, équipe",NA,92
"Lenovo France","Lenovo France",1,"Industrie high-tech, Telecom",NA,"Git",NA,40
"Lesaffre","Lesaffre",3,"Industrie Agro-alimentaire",NA,"Deep Learning",NA,59
"Liberty Rider","Liberty Rider",44,NA,NA,"Autonome, Autonôme, Communication, Power BI, Python, Rapport, SQL, Statistique, Tableau, équipe",NA,31
"Licorne Society","Licorne Society",2,NA,NA,", AWS, Azure, Bases de donnée, Git, Optimisation, Power BI, Prévision, Python, Rapport, SQL, Tableau, équipe",NA,75
"Liebherr-Aerospace Toulouse","Liebherr-Aerospace Toulouse",1,"Industrie Aéronautique, Aérospatial",1,"Git, Optimisation, équipe",NA,31
"Liebherr-Aerospace Toulouse SAS","Liebherr-Aerospace Toulouse SAS",1,NA,NA,"Anglais, Bases de donnée, Git, Optimisation, PyTorch, Python, SQL, Spark, Statistique, TensorFlow, modélisation, équipe",NA,31
"Limagrain","Limagrain",1,"Industrie Agro-alimentaire",1,"Git, Prévision, Rigueur, Statistique, équipe",NA,63
"Lincoln","Lincoln",1,NA,NA,"Deep Learning",NA,69
"LinkedIn Job Wrapping","LinkedIn Job Wrapping",1,NA,NA,"AWS, Azure, Base de donnée, Collaboration, Git, Google Cloud, Programmation, Python, SQL, Statistique, Tableau, Visualisation de donnée, collecte de données, équipe",NA,75
"Lity","Lity",1,NA,NA,"Intelligence artificielle, Python, Statistique, équipe",80,75
"LivingPackets","LivingPackets",21,NA,3,"AWS, Autonome, Autonôme, Azure, Bases de donnée, Collaboration, Git, Optimisation, Programmation, Python, SQL, Spark, Tableau, équipe",36.6666666666667,NA
"Loc Maria Biscuits","Loc Maria Biscuits",2,"Industrie Agro-alimentaire",7,"Collaboration, Power BI, Reporting, modélisation, équipe",NA,22
"Louvre Hôtels","Louvre Hôtels",1,NA,NA,"Anglais, Power BI, Rapport, Tableau, équipe",NA,92
"Lydia Solutions","Lydia Solutions",44,NA,NA,"Communication, Communication Skills, Data Visualization, English, Excel, French, Proactive, Reporting, SQL, Team Player",NA,75
"Lynx RH","Lynx RH",1,"Services aux Entreprises",NA,"Autonome, Autonôme, Git, Tableau, équipe",NA,49
"MAIF","MAIF",2,NA,NA,"SQL, équipe",NA,79
"MBDA France","MBDA France",1,NA,NA,"Anglais, Programmation, Python, Visualisation de donnée, équipe",NA,18
"MBR Partners","MBR Partners",1,NA,NA,"Communication, Communication Skills, Database, Excel, Hadoop, Python, SQL, Spark, Tableau",NA,75
"MFG Labs","MFG Labs",44,NA,NA,"AWS, Anglais, Français, Hadoop, Programmation, Python, SQL, Spark, Statistique, Tableau, modélisation, équipe",NA,77
"MGEN","MGEN",1,NA,NA,"Bases de donnée, Collaboration, Dataviz, Excel, Power BI, Reporting, Rigueur, SQL, Statistique, Tableau, équipe",NA,75
"MONABANQ","MONABANQ",1,NA,NA,"Excel, SQL, Statistique, Tableau",838,59
"MP DATA","MP DATA",38,NA,2.5,"Deep Learning, Git, Python",46.1176470588235,92
"MSD","MSD",2,NA,NA,"Collaboration, Créativité, équipe",NA,75
"Maestria","Maestria",2,"Services aux Entreprises",1,"Azure, Intelligence artificielle, Programming, Python, Spark, équipe",45,6
"Magasins Vert - Point Vert","Magasins Vert - Point Vert",1,"Distribution, Commerce de gros",0,"Git, Tableau, équipe",NA,29
"Malakoff Humanis","Malakoff Humanis",4,NA,NA,"Python, Rigueur, équipe",NA,75
"Malt","Malt",1,"Services aux Entreprises",0,"Attention to Detail, Communication, Curious, Data Visualization, Database, English, Proactive, Python, SQL",NA,75
"Managing","Managing",2,"Services aux Entreprises",NA,"Collaboration, Excel, Tableau, Visualisation de donnée, équipe",NA,67
"Mane","Mane",2,"Industrie Pétrolière, Pétrochimie",NA,"AWS, Anglais, Autonome, Autonôme, Bases de donnée, Excel, Git, Programmation, PyTorch, Python, SQL, Statistique, TensorFlow, modélisation",NA,6
"Manutan","Manutan",2,"Média, Internet, Communication",NA,"Deep Learning, Optimisation, équipe",NA,95
"Marcel ROBBEZ MASSON","Marcel ROBBEZ MASSON",1,NA,NA,"Anglais, Base de donnée, Bases de donnée, Collaboration, Programmation, Reporting, Rigueur, SQL, Statistique",36,34
"Margo Conseil","Margo Conseil",1,NA,NA,"Deep Learning",NA,75
"Maser Engineering","Maser Engineering",2,"Services aux Entreprises",1,"",30,31
"Matmut","Matmut",2,"Banque, Assurance, Finance",1,"Deep Learning",NA,76
"Mazars","Mazars",1,NA,NA,"Autonome, Autonôme, Data Visualization, Excel, Intelligence artificielle, Programmation, Python, Rapport, SQL, Tableau, équipe",NA,75
"Mazars.","Mazars.",2,"Secteur informatique, ESN",7,"AWS, Azure, Git, Tableau, équipe",NA,92
"McKinsey & Company","McKinsey & Company",2,NA,NA,"Deep Learning",NA,75
"Meetic","Meetic",1,"Média, Internet, Communication",NA,"Deep Learning",NA,75
"Meilleurtaux","Meilleurtaux",1,"Banque, Assurance, Finance, Média, Internet, Communication",NA,"Adaptabilité, Azure, Bases de donnée, Git, Optimisation, Python, Reporting, équipe",NA,75
"Meritis","Meritis",3,"Secteur informatique, ESN",NA,"Optimisation, Prévision, équipe",NA,75
"Meta","Meta",2,NA,NA,"Deep Learning",NA,75
"Metrixx","Metrixx",1,NA,NA,"Git, Optimisation, Reporting, Tableau",NA,69
"Metyis","Metyis",1,NA,NA,"Communication, Communication Skills, Data Visualization, English, French, Git, Power BI, Python, SQL, Tableau",NA,75
"Michael Page","Michael Page",12,"Services aux Entreprises",0,"équipe",51.5,92
"Michelin","Michelin",5,"Industrie Manufacturière",0,"équipe",1,63
"Million Victories","Million Victories",7,NA,NA,"A/B Testing, Autonomous, Creativity, Database, English, Proactive, Programming, Python, SQL",NA,NA
"Mirakl","Mirakl",5,"Média, Internet, Communication, Secteur informatique, ESN",NA,"Deep Learning",NA,75
"Mirakl - Labs","Mirakl - Labs",1,NA,NA,"Deep Learning",NA,33
"Mobilize Financial Services","Mobilize Financial Services",1,"Banque, Assurance, Finance, Industrie Auto, Meca, Navale",1,"Collaboration, Google Cloud, Reporting, Tableau, équipe",NA,93
"Mon-marché.fr","Mon-marché.fr",1,NA,NA,"Autonome, Autonôme, Git, Reporting, SQL, Tableau, équipe",NA,69
"Mondial Relay","Mondial Relay",1,"Transport, Logistique",7,"AWS, Tableau",NA,59
"Morgan Philips Executive Search","Morgan Philips Executive Search",2,"Industrie Pharmaceutique, Biotechn., Chimie",7,"Collaboration, Git, équipe",NA,92
"Mosica","Mosica",2,"Secteur informatique, ESN",1,"AWS, Hadoop, Programmation, Python, Spark, équipe",NA,44
"Mydral","Mydral",5,"Secteur informatique, ESN",7,"Excel, Reporting, Tableau, équipe",49.75,75
"NANTES UNIVERSITE","NANTES UNIVERSITE",1,NA,NA,"Anglais, Français, Rapport, équipe",2,44
"NAVA ENGINEERING","NAVA ENGINEERING",1,"Industrie Aéronautique, Aérospatial, Secteur informatique, ESN",7,"Hadoop, équipe",43,31
"NEO SOFT","NEO SOFT",1,NA,NA,"Bases de donnée, Excel, Git, Power BI, Programmation, Python, Rapport, SQL, Statistique, Tableau, modélisation, équipe",NA,75
"NEXORIS","NEXORIS",1,NA,NA,"Anglais, Communication, Power BI, SQL, équipe",500,75
"Natixis SA","Natixis SA",2,NA,NA,"Collaboration, Deep Learning, English, Excel, Optimisation, équipe",NA,75
"Nature et découvertes","Nature et découvertes",1,NA,NA,"Collaboration, Excel, Français, Git, Python, Statistique, Tableau, équipe",NA,78
"Neoxia","Neoxia",2,"Secteur informatique, ESN",NA,"Deep Learning",NA,75
"Nestle Operational Services Worldwide SA","Nestle Operational Services Worldwide SA",3,NA,NA,"Power BI, Rapport, équipe",NA,75
"Nexteam Group","Nexteam Group",1,NA,NA,"Autonome, Autonôme, Bases de donnée, SQL",NA,64
"Nexton Consulting FR","Nexton Consulting FR",1,NA,NA,"Git, équipe",NA,59
"Niji","Niji",1,NA,NA,"Anglais, Communication, Dataviz, Git, Optimisation, Power BI, Python, SQL, Spark, Tableau, équipe",NA,69
"Nissan","Nissan",1,"Industrie Auto, Meca, Navale",NA,"Communication, Communication Skills, Curious, Database, English, Excel, French",NA,78
"Nodya Group","Nodya Group",4,"Secteur informatique, ESN",7,"équipe",65.3333333333333,13
"Norgay IT & Digital Services","Norgay IT & Digital Services",6,"Secteur informatique, ESN",1,"modélisation",36.2,44
"Nova Consulting","Nova Consulting",1,NA,NA,"Base de donnée, Bases de donnée, Excel, Optimisation, Python, SQL, Statistique, modélisation, équipe",NA,75
"Novencia","Novencia",4,NA,NA,"Git, Intelligence artificielle",NA,75
"Novo Nordisk","Novo Nordisk",1,NA,NA,"Anglais, Base de donnée, Bases de donnée, Excel, Git, Intelligence artificielle, Optimisation, Programmation, Python, Résolution de Problèmes, SQL, Statistique, modélisation, équipe",NA,28
"Numberly","Numberly",4,"Média, Internet, Communication",NA,"Python, SQL",NA,75
"OCDE","OCDE",2,NA,NA,"Anglais, Collaboration, Excel, Français, Git, Power BI, Python, SQL, Statistique, VBA, Éthique et Intégrité, équipe",5.5,75
"OCTO Technology","OCTO Technology",1,NA,NA,"Deep Learning",NA,75
"OGF","OGF",1,NA,NA,"Azure, Base de donnée, Curiosité, Français, Python, SQL, Statistique, équipe",NA,75
"OKAIDI","OKAIDI",1,NA,NA,"A/B Testing, Curiosité, Git, Optimisation, Rigueur, SQL, Statistique, équipe",38,59
"ONEY","ONEY",1,NA,NA,"Git, Programmation, Python, SQL, Statistique, équipe",NA,59
"OPPBTP","OPPBTP",2,"BTP",7,"Bases de donnée, Collaboration, Git, Intelligence artificielle, Optimisation, SQL, Spark, équipe",NA,92
"ORTEC ENGINEERING","ORTEC ENGINEERING",44,NA,NA,"équipe",NA,31
"OSE Engineering","OSE Engineering",7,NA,NA,"Autonome, Autonôme, Bases de donnée, Intelligence artificielle, Programmation, Python, Rapport, Statistique, modélisation, équipe",NA,NA
"OUEST FRANCE","OUEST FRANCE",2,"Média, Internet, Communication",0,"équipe",NA,35
"OVHCloud","OVHCloud",1,"Secteur informatique, ESN",NA,"Anglais, Excel, Optimisation, équipe",NA,59
"Objectware","Objectware",4,"Secteur informatique, ESN",1,"SQL, équipe",NA,44
"Octopus Energy","Octopus Energy",1,NA,NA,"AWS, Anglais, Autonome, Autonôme, Communication, Excel, Français, Git, Python, Reporting, SQL, Spark, Tableau, Visualisation de donnée, équipe",NA,75
"Octopus Energy Group","Octopus Energy Group",1,NA,NA,"AWS, Anglais, Autonome, Autonôme, Communication, Excel, Français, Git, Python, Reporting, SQL, Spark, Tableau, Visualisation de donnée, équipe",NA,75
"Octopus IT","Octopus IT",1,"Secteur informatique, ESN",NA,"AWS, Azure, Curiosité, Optimisation, PyTorch, Python, équipe",NA,75
"Omniciel","Omniciel",2,"Services aux Entreprises, Secteur informatique, ESN",1,"Dataviz, Rapport, Tableau, équipe",40,13
"Onepoint","Onepoint",6,"Secteur informatique, ESN",0,"Anglais",NA,75
"Open","Open",2,"Secteur informatique, ESN",NA,"AWS, Azure, Git, Python, Spark, équipe",NA,92
"Opteamis","Opteamis",1,NA,NA,"Base de donnée, Bases de donnée, Git, Google Cloud, NLP, Natural Language Processing, Programmation, Python, SQL, équipe",NA,75
"Opéra Conseil","Opéra Conseil",1,NA,NA,"Deep Learning",NA,69
"Orange","Orange",3,"Industrie high-tech, Telecom",0,"Tableau, équipe",NA,33
"Orange Business","Orange Business",4,"Secteur informatique, ESN",2.5,"équipe",NA,13
"Orano","Orano",6,"Secteur Energie, Environnement",0.666666666666667,"Statistique",NA,26
"Ornikar","Ornikar",1,NA,NA,"Communication, Français, Google Cloud, Optimisation, Python, SQL, Statistique, modélisation, équipe",NA,75
"Orthogrid systems","Orthogrid systems",2,"Secteur informatique, ESN",NA,"Deep Learning",NA,67
"Otteo","Otteo",2,"Secteur informatique, ESN",1,"Google Cloud, modélisation, équipe",42,59
"Ouest France","Ouest France",1,NA,NA,"Autonome, Autonôme, Collaboration, Curiosité, Git, Intelligence artificielle, NLP, Python, équipe",NA,35
"PARIS-SACLAY CENTER FOR DATA SCIENCE","PARIS-SACLAY CENTER FOR DATA SCIENCE",1,NA,NA,"Collaboration, Programming, Python",NA,91
"PERSUADERS RH","PERSUADERS RH",2,"Services aux Entreprises",7,"équipe",NA,92
"PERSÉ BEAUTY","PERSÉ BEAUTY",1,NA,NA,"Anglais, Autonome, Autonôme, Bases de donnée, Collaboration, Communication, NLP, Python, équipe",NA,75
"PMU","PMU",3,"Service public des collectivités territoriales",1,"AWS, Collaboration, équipe",60,75
"POLARYS","POLARYS",2,NA,NA,"Deep Learning, English, Rigueur, équipe",NA,92
"PRO BTP GROUPE","PRO BTP GROUPE",1,NA,NA,"Collaboration, Communication, Excel, Français, Prévision, Reporting, équipe",45,94
"PROSOL","PROSOL",1,NA,NA,"AWS, Apprentissage profond, Autonome, Autonôme, Azure, Bases de donnée, Collaboration, Excel, Matplotlib, Programmation, PyTorch, Python, Résolution de Problèmes, SQL, Spark, Statistique, TensorFlow, équipe",NA,69
"PROXIEL","PROXIEL",1,NA,NA,"Git, Prévision, Python, SQL, Spark",NA,34
